Iteration,Mean_Best_Value,Std_Best,Mean_Sampled_Value,Std_Sample
0,0.8,1.5999999999999999,0.8,1.5999999999999999
1,-2.0,0.0,-0.8,2.4000000000000004
2,-2.0,0.0,2.4,0.8000000000000002
3,-2.0,0.0,2.0,1.2649110640673518
4,-2.0,0.0,3.2,0.9797958971132712
5,-2.0,0.0,2.8,0.9797958971132712
6,-2.0,0.0,2.4,0.8
7,-2.0,0.0,2.8,0.9797958971132712
8,-2.0,0.0,2.8,0.9797958971132712
9,-2.0,0.0,2.0,2.1908902300206643
10,-2.0,0.0,2.4,0.8
11,-2.0,0.0,2.4,0.8000000000000002
12,-2.0,0.0,2.8,2.4000000000000004
13,-2.0,0.0,-2.0,0.0
14,-2.0,0.0,-2.0,0.0
15,-2.0,0.0,-2.0,0.0
16,-2.0,0.0,-2.0,0.0
17,-2.0,0.0,-2.0,0.0
18,-2.0,0.0,-2.0,0.0
19,-2.0,0.0,-2.0,0.0
20,-2.0,0.0,-2.0,0.0
21,-2.0,0.0,-2.0,0.0
22,-2.0,0.0,-2.0,0.0
23,-2.0,0.0,-2.0,0.0
24,-2.0,0.0,-2.0,0.0
25,-2.0,0.0,-2.0,0.0
26,-2.0,0.0,-2.0,0.0
27,-2.0,0.0,-2.0,0.0
28,-2.0,0.0,-2.0,0.0
29,-2.0,0.0,-2.0,0.0
30,-2.0,0.0,-2.0,0.0
