Iteration,Mean_Best_Value,Std_Best,Mean_Sampled_Value,Std_Sample
0,-0.7,1.8193405398660252,-0.7,1.8193405398660252
1,-1.7,2.0273134932713295,-0.9,2.4879710609249455
2,-2.3,2.3043437243605824,-0.1,2.9983328701129897
3,-2.7,2.027313493271329,0.1,2.4062418831031933
4,-3.3,1.584297951775486,0.0,2.5298221281347035
5,-3.3,1.584297951775486,-0.2,1.5362291495737217
6,-3.6,1.3564659966250534,0.0,2.1908902300206643
7,-3.6,1.3564659966250534,0.4,1.9595917942265424
8,-3.7,0.9539392014169457,0.2,2.4413111231467406
9,-3.8,0.6,-0.4,2.1540659228538015
10,-4.0,0.0,-0.3,2.471841418861655
11,-4.0,0.0,0.6,2.1071307505705477
12,-4.0,0.0,-0.4,2.3323807579381204
13,-4.0,0.0,-1.1,2.6438608132804573
14,-4.0,0.0,-2.0,2.6076809620810595
15,-4.0,0.0,-2.7,2.2158519806160335
16,-4.0,0.0,-3.2,1.7204650534085255
17,-4.0,0.0,-3.0,2.1447610589527217
18,-4.0,0.0,-3.6,1.2
19,-4.0,0.0,-3.5,1.7748239349298849
20,-4.0,0.0,-3.4,1.8000000000000003
21,-4.0,0.0,-3.7,0.9539392014169457
22,-4.0,0.0,-4.0,0.0
23,-4.0,0.0,-4.0,0.0
24,-4.0,0.0,-4.0,0.0
25,-4.0,0.0,-4.0,0.0
26,-4.0,0.0,-4.0,0.0
27,-4.0,0.0,-4.0,0.0
28,-4.0,0.0,-4.0,0.0
29,-4.0,0.0,-4.0,0.0
30,-4.0,0.0,-4.0,0.0
