Iteration,Mean_Best_Value,Std_Best,Mean_Sampled_Value,Std_Sample
0,-0.7,1.8193405398660252,-0.7,1.8193405398660252
1,-1.9,2.142428528562855,-0.9,2.567099530598687
2,-2.5,2.085665361461421,-0.2,2.749545416973504
3,-3.0,1.7320508075688772,-0.1,2.487971060924946
4,-3.5,1.0723805294763609,-0.9,1.7291616465790585
5,-3.7,0.714142842854285,-0.2,2.08806130178211
6,-3.8,0.6,-0.1,2.046948949045872
7,-3.8,0.6,0.5,2.355843797877949
8,-4.0,0.0,-0.5,2.179449471770337
9,-4.0,0.0,0.1,2.233830790368868
10,-4.0,0.0,0.5,1.8841443681416772
11,-4.0,0.0,-0.3,1.8193405398660254
12,-4.0,0.0,-1.4,1.5620499351813308
13,-4.0,0.0,-1.8,2.08806130178211
14,-4.0,0.0,-2.4,2.244994432064365
15,-4.0,0.0,-2.5,2.5199206336708304
16,-4.0,0.0,-3.7,0.714142842854285
17,-4.0,0.0,-3.6,1.019803902718557
18,-4.0,0.0,-3.7,0.9539392014169457
19,-4.0,0.0,-3.7,1.307669683062203
20,-4.0,0.0,-4.0,0.0
21,-4.0,0.0,-4.0,0.0
22,-4.0,0.0,-4.0,0.0
23,-4.0,0.0,-4.0,0.0
24,-4.0,0.0,-4.0,0.0
25,-4.0,0.0,-4.0,0.0
26,-4.0,0.0,-4.0,0.0
27,-4.0,0.0,-4.0,0.0
28,-4.0,0.0,-4.0,0.0
29,-4.0,0.0,-4.0,0.0
30,-4.0,0.0,-4.0,0.0
