Iteration,Mean_Best_Value,Std_Best,Mean_Sampled_Value,Std_Sample
0,-0.4,1.2000000000000002,-0.4,1.2000000000000002
1,-0.4,1.2000000000000002,2.2,2.08806130178211
2,-1.2,1.8330302779823362,1.4,2.973213749463701
3,-1.6,1.4966629547095767,2.0,2.0
4,-1.6,1.4966629547095767,2.4,1.4966629547095767
5,-1.6,1.4966629547095767,2.8,1.8330302779823362
6,-2.4,1.2000000000000002,1.6,3.0724582991474434
7,-2.8,0.9797958971132713,0.8,2.7129319932501073
8,-2.8,0.9797958971132713,3.8,0.6
9,-3.0,1.0,1.4,2.8354893757515653
10,-3.0,1.0,2.2,2.6
11,-3.0,1.0,2.2,2.2715633383201097
12,-3.2,0.9797958971132713,0.6,2.973213749463701
13,-3.2,0.9797958971132713,1.6,2.9393876913398134
14,-3.2,0.9797958971132713,2.6,2.2
15,-3.2,0.9797958971132713,1.6,2.4979991993593593
16,-3.2,0.9797958971132713,2.6,2.2
