Queries,Success_Probability
0.0,0.01
0.0,0.02
0.0,0.03
0.0,0.04
0.0,0.05
0.0,0.06
0.0,0.07
0.0,0.08
0.0,0.09
0.0,0.1
0.0,0.11
0.0,0.12
0.0,0.13
0.0,0.14
0.0,0.15
0.0,0.16
0.0,0.17
0.0,0.18
0.0,0.19
0.0,0.2
0.0,0.21
0.0,0.22
0.0,0.23
0.0,0.24
0.0,0.25
0.0,0.26
1.0,0.27
1.0,0.28
1.0,0.29
1.0,0.3
1.0,0.31
1.0,0.32
1.0,0.33
1.0,0.34
1.0,0.35
1.0,0.36
1.0,0.37
1.0,0.38
1.0,0.39
1.0,0.4
1.0,0.41
1.0,0.42
1.0,0.43
1.0,0.44
1.0,0.45
1.0,0.46
1.0,0.47
1.0,0.48
2.0,0.49
2.0,0.5
2.0,0.51
2.0,0.52
2.0,0.53
2.0,0.54
2.0,0.55
2.0,0.56
2.0,0.57
2.0,0.58
2.0,0.59
2.0,0.6
2.0,0.61
2.0,0.62
3.0,0.63
3.0,0.64
3.0,0.65
3.0,0.66
3.0,0.67
3.0,0.68
3.0,0.69
3.0,0.7
4.0,0.71
4.0,0.72
4.0,0.73
4.0,0.74
4.0,0.75
4.0,0.76
4.0,0.77
5.0,0.78
5.0,0.79
6.0,0.8
6.0,0.81
6.0,0.82
6.0,0.83
7.0,0.84
7.0,0.85
7.0,0.86
8.0,0.87
8.0,0.88
8.0,0.89
8.0,0.9
9.0,0.91
9.0,0.92
9.0,0.93
9.0,0.94
10.0,0.95
11.0,0.96
11.0,0.97
12.0,0.98
12.0,0.99
16.0,1.0
