Iteration,Mean_Best_Value,Std_Best,Mean_Sampled_Value,Std_Sample
0,0.032,1.3765812725734665,0.032,1.3765812725734665
1,-0.85,1.296726648141389,0.014,1.7145856642349409
2,-1.398,1.024497925815368,-0.14,1.719418506356155
3,-1.66,0.7876547467005992,-0.098,1.723483681384889
4,-1.816,0.5849307651337871,-0.286,1.7141190157045731
5,-1.906,0.4232776866313669,-0.364,1.681518361481674
6,-1.95,0.31224989991991825,-0.38,1.689852064531096
7,-1.982,0.18888091486436578,-0.478,1.661179099314697
8,-1.99,0.1410673597966585,-0.55,1.6797321215003254
9,-1.992,0.1262378707044762,-0.378,1.7032662739571909
10,-1.996,0.08935323161475403,-0.33,1.7108769681072964
