Queries,Success_Probability
0.0,0.001
0.0,0.002
0.0,0.003
0.0,0.004
0.0,0.005
0.0,0.006
0.0,0.007
0.0,0.008
0.0,0.009
0.0,0.01
0.0,0.011
0.0,0.012
0.0,0.013
0.0,0.014
0.0,0.015
0.0,0.016
0.0,0.017
0.0,0.018
0.0,0.019
0.0,0.02
0.0,0.021
0.0,0.022
0.0,0.023
0.0,0.024
0.0,0.025
0.0,0.026
0.0,0.027
0.0,0.028
0.0,0.029
0.0,0.03
0.0,0.031
0.0,0.032
0.0,0.033
0.0,0.034
0.0,0.035
0.0,0.036
0.0,0.037
0.0,0.038
0.0,0.039
0.0,0.04
0.0,0.041
0.0,0.042
0.0,0.043
0.0,0.044
0.0,0.045
0.0,0.046
0.0,0.047
0.0,0.048
0.0,0.049
0.0,0.05
0.0,0.051
0.0,0.052
0.0,0.053
0.0,0.054
0.0,0.055
0.0,0.056
0.0,0.057
0.0,0.058
0.0,0.059
0.0,0.06
0.0,0.061
0.0,0.062
0.0,0.063
0.0,0.064
0.0,0.065
0.0,0.066
0.0,0.067
0.0,0.068
0.0,0.069
0.0,0.07
0.0,0.071
0.0,0.072
0.0,0.073
0.0,0.074
0.0,0.075
0.0,0.076
0.0,0.077
0.0,0.078
0.0,0.079
0.0,0.08
0.0,0.081
0.0,0.082
0.0,0.083
0.0,0.084
0.0,0.085
0.0,0.086
0.0,0.087
0.0,0.088
0.0,0.089
0.0,0.09
0.0,0.091
0.0,0.092
0.0,0.093
0.0,0.094
0.0,0.095
0.0,0.096
0.0,0.097
0.0,0.098
0.0,0.099
0.0,0.1
0.0,0.101
0.0,0.102
0.0,0.103
0.0,0.104
0.0,0.105
0.0,0.106
0.0,0.107
0.0,0.108
0.0,0.109
0.0,0.11
0.0,0.111
0.0,0.112
0.0,0.113
0.0,0.114
0.0,0.115
0.0,0.116
0.0,0.117
0.0,0.118
0.0,0.119
0.0,0.12
0.0,0.121
0.0,0.122
0.0,0.123
0.0,0.124
0.0,0.125
0.0,0.126
0.0,0.127
0.0,0.128
0.0,0.129
0.0,0.13
0.0,0.131
0.0,0.132
0.0,0.133
0.0,0.134
0.0,0.135
0.0,0.136
0.0,0.137
0.0,0.138
0.0,0.139
0.0,0.14
0.0,0.141
0.0,0.142
0.0,0.143
0.0,0.144
0.0,0.145
0.0,0.146
0.0,0.147
0.0,0.148
0.0,0.149
0.0,0.15
0.0,0.151
0.0,0.152
0.0,0.153
0.0,0.154
0.0,0.155
0.0,0.156
0.0,0.157
0.0,0.158
0.0,0.159
0.0,0.16
0.0,0.161
0.0,0.162
0.0,0.163
0.0,0.164
0.0,0.165
0.0,0.166
0.0,0.167
0.0,0.168
0.0,0.169
0.0,0.17
0.0,0.171
0.0,0.172
0.0,0.173
0.0,0.174
0.0,0.175
0.0,0.176
0.0,0.177
0.0,0.178
0.0,0.179
0.0,0.18
0.0,0.181
0.0,0.182
0.0,0.183
0.0,0.184
0.0,0.185
0.0,0.186
0.0,0.187
0.0,0.188
0.0,0.189
0.0,0.19
0.0,0.191
0.0,0.192
0.0,0.193
0.0,0.194
0.0,0.195
0.0,0.196
0.0,0.197
0.0,0.198
0.0,0.199
0.0,0.2
0.0,0.201
0.0,0.202
0.0,0.203
0.0,0.204
0.0,0.205
0.0,0.206
0.0,0.207
0.0,0.208
0.0,0.209
0.0,0.21
0.0,0.211
0.0,0.212
0.0,0.213
0.0,0.214
0.0,0.215
0.0,0.216
0.0,0.217
0.0,0.218
0.0,0.219
0.0,0.22
0.0,0.221
0.0,0.222
0.0,0.223
0.0,0.224
0.0,0.225
0.0,0.226
0.0,0.227
0.0,0.228
0.0,0.229
1.0,0.23
1.0,0.231
1.0,0.232
1.0,0.233
1.0,0.234
1.0,0.235
1.0,0.236
1.0,0.237
1.0,0.238
1.0,0.239
1.0,0.24
1.0,0.241
1.0,0.242
1.0,0.243
1.0,0.244
1.0,0.245
1.0,0.246
1.0,0.247
1.0,0.248
1.0,0.249
1.0,0.25
1.0,0.251
1.0,0.252
1.0,0.253
1.0,0.254
1.0,0.255
1.0,0.256
1.0,0.257
1.0,0.258
1.0,0.259
1.0,0.26
1.0,0.261
1.0,0.262
1.0,0.263
1.0,0.264
1.0,0.265
1.0,0.266
1.0,0.267
1.0,0.268
1.0,0.269
1.0,0.27
1.0,0.271
1.0,0.272
1.0,0.273
1.0,0.274
1.0,0.275
1.0,0.276
1.0,0.277
1.0,0.278
1.0,0.279
1.0,0.28
1.0,0.281
1.0,0.282
1.0,0.283
1.0,0.284
1.0,0.285
1.0,0.286
1.0,0.287
1.0,0.288
1.0,0.289
1.0,0.29
1.0,0.291
1.0,0.292
1.0,0.293
1.0,0.294
1.0,0.295
1.0,0.296
1.0,0.297
1.0,0.298
1.0,0.299
1.0,0.3
1.0,0.301
1.0,0.302
1.0,0.303
1.0,0.304
1.0,0.305
1.0,0.306
1.0,0.307
1.0,0.308
1.0,0.309
1.0,0.31
1.0,0.311
1.0,0.312
1.0,0.313
1.0,0.314
1.0,0.315
1.0,0.316
1.0,0.317
1.0,0.318
1.0,0.319
1.0,0.32
1.0,0.321
1.0,0.322
1.0,0.323
1.0,0.324
1.0,0.325
1.0,0.326
1.0,0.327
1.0,0.328
1.0,0.329
1.0,0.33
1.0,0.331
1.0,0.332
1.0,0.333
1.0,0.334
1.0,0.335
1.0,0.336
1.0,0.337
1.0,0.338
1.0,0.339
1.0,0.34
1.0,0.341
1.0,0.342
1.0,0.343
1.0,0.344
1.0,0.345
1.0,0.346
1.0,0.347
1.0,0.348
1.0,0.349
1.0,0.35
1.0,0.351
1.0,0.352
1.0,0.353
1.0,0.354
1.0,0.355
1.0,0.356
1.0,0.357
1.0,0.358
1.0,0.359
1.0,0.36
1.0,0.361
1.0,0.362
1.0,0.363
1.0,0.364
1.0,0.365
1.0,0.366
1.0,0.367
1.0,0.368
1.0,0.369
1.0,0.37
1.0,0.371
1.0,0.372
1.0,0.373
1.0,0.374
1.0,0.375
1.0,0.376
1.0,0.377
1.0,0.378
1.0,0.379
1.0,0.38
1.0,0.381
1.0,0.382
1.0,0.383
1.0,0.384
1.0,0.385
1.0,0.386
1.0,0.387
1.0,0.388
1.0,0.389
1.0,0.39
1.0,0.391
1.0,0.392
1.0,0.393
1.0,0.394
1.0,0.395
1.0,0.396
1.0,0.397
1.0,0.398
1.0,0.399
1.0,0.4
1.0,0.401
1.0,0.402
1.0,0.403
1.0,0.404
1.0,0.405
1.0,0.406
1.0,0.407
1.0,0.408
1.0,0.409
1.0,0.41
1.0,0.411
1.0,0.412
1.0,0.413
1.0,0.414
1.0,0.415
1.0,0.416
1.0,0.417
1.0,0.418
1.0,0.419
1.0,0.42
1.0,0.421
1.0,0.422
1.0,0.423
1.0,0.424
1.0,0.425
1.0,0.426
1.0,0.427
1.0,0.428
1.0,0.429
1.0,0.43
1.0,0.431
1.0,0.432
1.0,0.433
1.0,0.434
1.0,0.435
1.0,0.436
1.0,0.437
1.0,0.438
1.0,0.439
1.0,0.44
1.0,0.441
1.0,0.442
1.0,0.443
1.0,0.444
1.0,0.445
1.0,0.446
1.0,0.447
1.0,0.448
1.0,0.449
1.0,0.45
1.0,0.451
1.0,0.452
1.0,0.453
1.0,0.454
1.0,0.455
1.0,0.456
1.0,0.457
1.0,0.458
1.0,0.459
1.0,0.46
1.0,0.461
1.0,0.462
1.0,0.463
1.0,0.464
1.0,0.465
1.0,0.466
1.0,0.467
1.0,0.468
1.0,0.469
1.0,0.47
1.0,0.471
1.0,0.472
1.0,0.473
1.0,0.474
1.0,0.475
1.0,0.476
1.0,0.477
1.0,0.478
1.0,0.479
1.0,0.48
1.0,0.481
1.0,0.482
1.0,0.483
1.0,0.484
1.0,0.485
1.0,0.486
1.0,0.487
1.0,0.488
1.0,0.489
1.0,0.49
1.0,0.491
1.0,0.492
1.0,0.493
1.0,0.494
1.0,0.495
1.0,0.496
1.0,0.497
1.0,0.498
1.0,0.499
1.0,0.5
1.0,0.501
1.0,0.502
1.0,0.503
1.0,0.504
1.0,0.505
1.0,0.506
1.0,0.507
1.0,0.508
1.0,0.509
1.0,0.51
1.0,0.511
1.0,0.512
1.0,0.513
2.0,0.514
2.0,0.515
2.0,0.516
2.0,0.517
2.0,0.518
2.0,0.519
2.0,0.52
2.0,0.521
2.0,0.522
2.0,0.523
2.0,0.524
2.0,0.525
2.0,0.526
2.0,0.527
2.0,0.528
2.0,0.529
2.0,0.53
2.0,0.531
2.0,0.532
2.0,0.533
2.0,0.534
2.0,0.535
2.0,0.536
2.0,0.537
2.0,0.538
2.0,0.539
2.0,0.54
2.0,0.541
2.0,0.542
2.0,0.543
2.0,0.544
2.0,0.545
2.0,0.546
2.0,0.547
2.0,0.548
2.0,0.549
2.0,0.55
2.0,0.551
2.0,0.552
2.0,0.553
2.0,0.554
2.0,0.555
2.0,0.556
2.0,0.557
2.0,0.558
2.0,0.559
2.0,0.56
2.0,0.561
2.0,0.562
2.0,0.563
2.0,0.564
2.0,0.565
2.0,0.566
2.0,0.567
2.0,0.568
2.0,0.569
2.0,0.57
2.0,0.571
2.0,0.572
2.0,0.573
2.0,0.574
2.0,0.575
2.0,0.576
2.0,0.577
2.0,0.578
2.0,0.579
2.0,0.58
2.0,0.581
