Iteration,Mean_Best_Value,Std_Best,Mean_Sampled_Value,Std_Sample
0,0.004,1.4198535135710324,0.004,1.4198535135710324
1,-0.736,1.4065219514817433,0.006,1.7515604471441948
2,-1.226,1.168299619104613,0.03,1.7807582654588474
3,-1.49,0.9591141746424106,-0.03,1.7941850517714177
4,-1.612,0.8493856603451652,-0.064,1.7629248424138706
5,-1.738,0.6923554000656058,-0.004,1.7933164807138766
6,-1.806,0.5986351142390532,0.11,1.7798595450203287
7,-1.854,0.5202730052578224,-0.064,1.7561047804729577
8,-1.888,0.45984345162239587,-0.044,1.724547476876188
9,-1.918,0.39658038277252344,-0.022,1.7051439821903576
10,-1.934,0.3572730048576312,0.066,1.7457502685092101
