Iteration,Mean_Best_Value,Std_Best,Mean_Sampled_Value,Std_Sample
0,2.5,1.5864005379054391,2.5,1.5864005379054391
1,1.9,1.7578395831246942,2.6,1.942506971244462
2,1.4333333333333333,1.7451520150277897,2.2666666666666666,1.7499206331208914
3,1.1666666666666667,1.572330188676101,2.466666666666667,1.5648926125740668
4,0.9,1.374772708486752,2.4,1.4742229591663987
5,0.6,1.2806248474865696,2.1333333333333333,1.6275407487644937
6,0.5,1.2041594578792296,2.7,1.5088627063675035
7,0.4,1.051982255870633,2.4,1.2806248474865698
8,0.3,0.9,2.533333333333333,1.4313940369055926
9,0.16666666666666666,0.636832439151427,2.066666666666667,1.2631530214330946
10,0.0,0.0,1.9666666666666666,1.3780017739062924
11,0.0,0.0,2.4,1.3316656236958784
12,0.0,0.0,1.9666666666666666,1.2242911781471304
13,0.0,0.0,2.2666666666666666,1.20922380981447
14,0.0,0.0,2.966666666666667,1.3287420951996498
15,0.0,0.0,2.6,1.42828568570857
16,0.0,0.0,2.566666666666667,1.430229196861662
17,0.0,0.0,2.566666666666667,1.174260996920569
18,0.0,0.0,2.2666666666666666,1.50406855635713
19,0.0,0.0,2.2666666666666666,1.0624918300339483
20,0.0,0.0,2.2,1.351542328847553
21,0.0,0.0,2.3666666666666667,1.2512216252748973
22,0.0,0.0,2.1,1.3253930234714029
23,0.0,0.0,2.1666666666666665,0.9689627902499091
24,0.0,0.0,2.0,1.3165611772087666
25,0.0,0.0,1.7333333333333334,1.18133634311129
26,0.0,0.0,2.1333333333333333,1.2840906856172147
27,0.0,0.0,2.1666666666666665,1.1855612829185826
28,0.0,0.0,2.2666666666666666,1.2631530214330944
29,0.0,0.0,2.2666666666666666,1.4817407180595248
30,0.0,0.0,2.3666666666666667,1.4019827229875395
31,0.0,0.0,2.7666666666666666,1.5205992970609392
32,0.0,0.0,2.6,1.3564659966250534
33,0.0,0.0,2.566666666666667,1.5849991237291656
34,0.0,0.0,2.3666666666666667,1.303414319734477
35,0.0,0.0,2.8,1.4696938456699067
36,0.0,0.0,1.8333333333333333,1.4161763857498666
37,0.0,0.0,2.3,1.3453624047073711
38,0.0,0.0,1.9333333333333333,1.2631530214330946
39,0.0,0.0,2.3333333333333335,1.2472191289246473
40,0.0,0.0,2.1666666666666665,1.4624940645653537
41,0.0,0.0,2.1666666666666665,1.097977939466707
42,0.0,0.0,2.566666666666667,1.2297244497131143
43,0.0,0.0,2.0,1.1254628677422756
44,0.0,0.0,2.2333333333333334,1.1742609969205693
45,0.0,0.0,2.1,1.2476644848141936
46,0.0,0.0,2.0,1.3662601021279464
47,0.0,0.0,2.1666666666666665,1.4395215254459455
48,0.0,0.0,2.3333333333333335,1.4220486005134365
49,0.0,0.0,2.6666666666666665,1.2472191289246473
50,0.0,0.0,2.6,1.4966629547095764
