Iteration,Mean_Best_Value,Std_Best,Mean_Sampled_Value,Std_Sample
0,-1.1,2.6153393661244038,-1.1,2.6153393661244038
1,-2.0,3.1064449134018135,-1.2,3.1
2,-2.6,2.8442925306655784,-1.0,3.383784863137726
3,-3.3,2.749545416973504,-1.3,3.709447398198282
4,-3.8,2.491987158875422,-2.7,2.039607805437114
5,-3.9,2.4979991993593593,-1.1,3.9547439866570375
6,-4.3,2.7129319932501077,-2.1,4.363484845854286
7,-4.3,2.7129319932501077,-2.0,4.006245124802026
8,-4.7,2.5612496949731396,-1.7,3.1559467676119
9,-5.0,2.5787593916455256,-3.2,3.8223029707232783
10,-5.0,2.5787593916455256,-1.6,2.808914381037628
11,-5.0,2.5787593916455256,-1.6,3.477067730142742
12,-5.7,1.8330302779823362,-3.7,2.7856776554368237
13,-5.8,1.5524174696260027,-2.3,3.0919249667480613
14,-6.1,0.7999999999999999,-3.3,2.5219040425836985
15,-6.1,0.7999999999999999,-3.0,3.640054944640259
16,-6.1,0.7999999999999999,-1.7,2.821347195933177
17,-6.3,0.6,-3.1,3.903844259188627
18,-6.5,0.0,-3.0,3.9560080889704965
19,-6.5,0.0,-2.5,3.255764119219941
20,-6.5,0.0,-1.8,3.2878564445547194
