Iteration,Mean_Best_Value,Std_Best,Mean_Sampled_Value,Std_Sample
0,1.78,0.87840765023991,1.78,0.87840765023991
1,1.32,0.7332121111929342,2.24,1.0873821775254546
2,1.1,0.6708203932499369,2.06,0.9467840302835699
3,0.86,0.6003332407921455,1.74,0.9551963149007643
4,0.72,0.5670978751503131,2.0,0.938083151964686
5,0.68,0.5455272678794341,2.14,1.0772186407596185
6,0.62,0.5249761899362672,2.3,0.9848857801796106
7,0.56,0.4963869458396341,2.04,1.0384603988597738
8,0.44,0.49638694583963416,1.92,1.0166612021711068
9,0.38,0.4853864439804637,2.0,1.0392304845413265
10,0.32,0.4664761515876239,1.76,0.8380930735902786
11,0.26,0.43863424398922624,1.98,1.048618138313466
12,0.2,0.4000000000000001,2.24,0.9911609354691093
13,0.14,0.34698703145794935,1.82,0.9734474818910368
14,0.08,0.27129319932501084,1.98,0.9053176238205017
15,0.0,0.0,2.0,1.019803902718557
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
