Iteration,Mean_Best_Value,Std_Best,Mean_Sampled_Value,Std_Sample
0,1.0,1.1832159566199232,1.0,1.1832159566199232
1,-1.0,0.0,-0.8,0.6
2,-1.0,0.0,0.2,0.9797958971132713
3,-1.0,0.0,0.6,0.8000000000000002
4,-1.0,0.0,0.6,0.8000000000000002
5,-1.0,0.0,0.6,0.8000000000000002
6,-1.0,0.0,0.6,0.8000000000000002
7,-1.0,0.0,0.8,0.6000000000000001
8,-1.0,0.0,0.8,0.6
9,-1.0,0.0,0.0,1.0
10,-1.0,0.0,0.8,0.6
11,-1.0,0.0,0.8,0.6000000000000001
12,-1.0,0.0,0.6,0.8000000000000002
13,-1.0,0.0,0.8,0.6
14,-1.0,0.0,0.8,0.6000000000000001
15,-1.0,0.0,0.6,0.8000000000000002
16,-1.0,0.0,0.0,1.0
17,-1.0,0.0,1.0,0.0
18,-1.0,0.0,0.4,0.9165151389911681
19,-1.0,0.0,0.6,0.8000000000000002
20,-1.0,0.0,0.6,0.8000000000000002
