Iteration,Mean_Best_Value,Std_Best,Mean_Sampled_Value,Std_Sample
0,1.0,1.1832159566199232,1.0,1.1832159566199232
1,0.5,1.284523257866513,0.6,1.2
2,0.4,1.3564659966250536,1.2,0.9797958971132713
3,-0.3,1.004987562112089,0.3,1.0049875621120892
4,-0.4,0.9165151389911681,0.7,1.004987562112089
5,-0.6,0.9165151389911681,0.8,1.0770329614269007
6,-0.7,0.9000000000000001,0.6,1.1135528725660044
7,-0.7,0.9000000000000001,1.5,0.9219544457292888
8,-0.8,0.6,1.5,1.284523257866513
9,-0.9,0.3,0.6,1.2806248474865698
10,-1.0,0.0,0.7,0.9000000000000001
11,-1.0,0.0,1.6,1.019803902718557
12,-1.0,0.0,0.7,1.1874342087037917
13,-1.0,0.0,1.4,1.2806248474865698
14,-1.0,0.0,0.8,0.8717797887081347
15,-1.0,0.0,0.9,0.8306623862918074
16,-1.0,0.0,0.8,0.9797958971132713
17,-1.0,0.0,1.5,1.02469507659596
18,-1.0,0.0,1.0,1.0
19,-1.0,0.0,1.1,0.7
20,-1.0,0.0,1.1,0.9433981132056604
